,variable,relative_importance,scaled_importance,percentage
117,m_LFHF_RATIO_COARSE,0.02872609905898571,0.10711260816408537,0.002325233808817375
118,m_STV,0.028324803337454796,0.10561627441929104,0.002292750930542764
119,m_SDRRI1,0.028135493397712708,0.10491038388554598,0.0022774272393123744
120,m_vlf_peak_freq,0.027869094163179398,0.1039170461975715,0.002255863555865208
121,f_VLF_FINE,0.026478592306375504,0.09873220434927749,0.002143309396596152
122,m_MAXRR,0.02608717605471611,0.0972727087349597,0.0021116262119141617
123,m_HR_HIST_MAX,0.025345774367451668,0.0945082029015334,0.0020516134595525677
124,['ethnicity']_Not Hispanic/Latinx,0.02406538650393486,0.0897339492431681,0.0019479724763986981
125,f_LF_FINE_NORM,0.02106177620589733,0.07853421995619873,0.0017048452700499396
126,m_LF_FINE,0.02078765258193016,0.07751207990640559,0.0016826563359752093
127,m_PC_S,0.020200474187731743,0.07532263506981131,0.001635127186570213
128,m_TRIANGULAR_INDEX,0.020161429420113564,0.07517704666652146,0.001631966708235275
129,f_mf_peak_freq,0.02013280615210533,0.07507031749023317,0.0016296497980848603
130,m_TINN,0.019794749096035957,0.07380978528537271,0.0016022857729707056
131,current_weight,0.019776476547122,0.07374165141282843,0.001600806701676662
132,m_MINRR,0.019131865352392197,0.07133805368876925,0.0015486286547914882
133,f_RMSSD_30sec,0.01904086396098137,0.07099873172373114,0.0015412625480492055
134,m_RMSSD5,0.018650278449058533,0.06954233373501527,0.0015096466075871075
135,m_RMSSD_30sec,0.018534796312451363,0.06911172904960512,0.0015002989071631104
136,m_RR50,0.018416814506053925,0.06867180370599371,0.0014907488709922628
137,m_STV_IBI,0.01769244112074375,0.06597079225205771,0.0014321144743666674
138,m_PC_SD2,0.01766659878194332,0.06587443248165205,0.001430022666503919
139,f_RR_interval_avg,0.017461279407143593,0.0651088466742558,0.0014134030917085645
140,anemia,0.016875898465514183,0.06292610409933383,0.001366019437084277
141,m_LTV_IBI,0.016612643375992775,0.0619444901602742,0.0013447102564245052
142,f_HR_HIST_MIN,0.016487261280417442,0.0614769709455498,0.0013345612039181594
143,f_PC_SD2,0.01611148938536644,0.0600758093165021,0.001304144351529612
144,m_RMSSD,0.015979083254933357,0.05958209919113911,0.0012934267385900512
145,f_MAXRR,0.015751242637634277,0.05873253717039597,0.001274984182039724
146,m_TP,0.015058476477861404,0.05614938134165916,0.0012189082319776993
147,m_HR_HIST_NZEROS,0.014664868824183941,0.05468171452438029,0.0011870476642806792
148,f_MINRR,0.014375099912285805,0.053601237016642614,0.0011635923225266096
149,m_VLF_FINE,0.014303062111139297,0.05333262564858446,0.0011577612234137515
150,f_LFHF_RATIO_COARSE,0.01388449314981699,0.05177188421092169,0.0011238801629122994
151,f_SDRR,0.013635724782943726,0.05084428772280124,0.0011037436098763223
152,f_porousness,0.012983236461877823,0.048411318118314964,0.0010509279490765195
153,f_HR_HIST_WIDTH,0.011642662808299065,0.043412646346835386,0.0009424152277317082
154,m_RMSSD1,0.01157752238214016,0.043169753605691766,0.0009371424365701086
155,m_LTV,0.011239794082939625,0.041910447254909194,0.0009098050226775032
156,m_STI_IBI,0.010944449342787266,0.04080917884528963,0.0008858983455596497
157,f_hf_peak_freq,0.010350551456212997,0.03859467866259918,0.0008378252869096724
158,f_LTV_25,0.009611827321350574,0.03584015676819248,0.0007780292690012067
159,m_SDRR,0.008934961631894112,0.033316289910197194,0.0007232403823542279
160,m_SDRRI5,0.0077215880155563354,0.028791916013952038,0.0006250238667861994
161,f_lf_peak_freq,0.006187987979501486,0.02307349600136818,0.0005008866267900566
162,m_pRR5,0.006186464801430702,0.023067816442318933,0.0005007633331559379
163,arthritis,0.005866082850843668,0.02187319038934848,0.000474830019283068
164,f_HF_FINE_NORM,0.005517867393791676,0.02057477998801622,0.00044664372250021914
165,f_LTV_10,0.0036320253275334835,0.013542935466151814,0.00029399425479667096
166,f_HR_HIST_MEDIAN,0.003432373283430934,0.01279848175090134,0.0002778334220294551
167,f_HR_HIST_MODE,0.0032806682866066694,0.012232810865759407,0.00026555366253764304
168,f_HR_HIST_MAX,0.0031713268253952265,0.011825103259279986,0.00025670301902380293
169,m_LTI_IBI,0.0031696974765509367,0.011819027815344399,0.0002565711313974559
170,f_LTI_IBI,0.0030738012865185738,0.011461454341609818,0.0002488088152283805
171,f_PC_SD1,0.002920825034379959,0.010891043255855095,0.00023642615398751802
172,m_K_ISIGMOID,0.0026479356456547976,0.009873505367865682,0.00021433712507244274
173,weight_before,0.002427890431135893,0.009053010500367381,0.0001965255673243057
174,m_pRR50,0.0015016221441328526,0.005599182262956909,0.00012154878984566975
